cell_id,x_spring,y_spring,Potential,Pr_Er,Pr_Gr,Pr_Ly,Pr_DC,Pr_Mk,Pr_Mo,Pr_Ba
bBM1,255.9,-385.59,18.431,2.7139e-05,0.99954,4.0308e-05,0.00026518,2.9278e-06,0.00011634,5.807e-06
bBM4,303.1,-498.71,16.125,2.0574e-07,0.99999,3.2571e-07,1.0041e-05,2.9523e-08,1.2426e-06,8.3799e-08
bBM7,233.13,-316.2,19.285,0.00019211,0.99662,0.00029757,0.0018857,2.5194e-05,0.00093204,4.7887e-05
bBM8,281.3,-459.41,17.234,2.1976e-06,0.99994,4.1072e-06,3.8355e-05,2.866e-07,1.1434e-05,6.5573e-07
bBM9,348.64,-691.98,10.129,1.7378e-13,1,2.2458e-13,1.8204e-12,2.6002e-14,9.4752e-13,8.4199e-14
bBM12,211.31,-258.58,19.905,0.000729,0.98746,0.0010186,0.0068502,9.9998e-05,0.0036266,0.00021437
bBM13,353.35,-734.48,5.7718,0,1,1.462e-15,6.2819e-15,7.8101e-16,1.2664e-15,3.2165e-15
bBM14,299.1,-530.63,15.723,7.6702e-08,1,1.235e-07,8.6696e-07,1.042e-08,4.4969e-07,2.5477e-08
bBM15,280.47,-354.19,18.353,2.2771e-05,0.99963,2.2911e-05,0.00013122,4.1706e-06,0.0001716,1.637e-05
bBM16,148.14,-76.587,21.073,0.0034068,0.73592,0.01011,0.09503,0.0011938,0.15265,0.0016874
bBM17,113.86,-38.473,21.447,0.0091447,0.66534,0.045398,0.044421,0.0029592,0.22759,0.0051499
bBM19,322.8,-590.85,13.693,9.7285e-10,1,1.3997e-09,1.2056e-08,1.3559e-10,5.2399e-09,4.3433e-10
bBM20,167.55,71.71,19.637,7.9045e-05,0.015962,0.00066498,0.95005,2.8021e-05,0.033185,3.5209e-05
bBM21,162.53,-161.36,20.658,0.0053399,0.9303,0.010872,0.025166,0.00071094,0.026405,0.0012042
bBM22,362.5,-710.01,8.7026,7.7644e-16,1,2.9004e-14,2.1663e-13,3.9252e-15,1.1937e-13,1.5343e-14
bBM23,251.9,-289.81,19.402,0.00017322,0.99603,0.00028574,0.0020614,3.4351e-05,0.0013078,0.00011231
bBM24,246.55,-353.53,18.78,4.8604e-05,0.99643,9.2195e-05,0.0027816,7.6799e-06,0.00062316,1.7315e-05
